"7,3 tỷ",77 m²,"94,8 tr/m²","Quận 2, Hồ Chí Minh",3,2
Giá thỏa thuận,32 m²,,"Đông Anh, Hà Nội",1,1
"6,7 tỷ",55 m²,"121,82 tr/m²","Quận 2, Hồ Chí Minh",1,1
Giá thỏa thuận,32 m²,,"Đông Anh, Hà Nội",1,1
"6,89 tỷ",50 m²,"137,76 tr/m²","Gò Vấp, Hồ Chí Minh",3,4
"5,85 tỷ",100 m²,"58,5 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"5,2 tỷ","174,8 m²","29,75 tr/m²","Phan Thiết, Bình Thuận",,
"7,49 tỷ",54 m²,"138,7 tr/m²","Văn Giang, Hưng Yên",3,
"9,85 tỷ",51 m²,"193,14 tr/m²","Cầu Giấy, Hà Nội",6,4
5 tỷ,70 m²,"71,43 tr/m²","Quận 2, Hồ Chí Minh",2,
"5,8 tỷ",114 m²,"50,88 tr/m²","Bắc Từ Liêm, Hà Nội",3,2
68 tỷ,227 m²,"299,56 tr/m²","Gia Lâm, Hà Nội",,
24 tỷ,150 m²,160 tr/m²,"Gia Lâm, Hà Nội",,
"1,6 tỷ",100 m²,16 tr/m²,"Quốc Oai, Hà Nội",,
"4,35 tỷ",83 m²,"52,41 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
"1,6 tỷ",45 m²,"35,56 tr/m²","Phủ Lý, Hà Nam",3,2
"2,6 tỷ",59 m²,"44,07 tr/m²","Gia Lâm, Hà Nội",2,1
9 tỷ,75 m²,120 tr/m²,"Văn Giang, Hưng Yên",,
"6,05 tỷ",84 m²,"72,02 tr/m²","Quận 2, Hồ Chí Minh",2,2
"5,34 tỷ",89 m²,60 tr/m²,"Hoàng Mai, Hà Nội",2,2
"21,5 tỷ",154 m²,"139,61 tr/m²","Ngũ Hành Sơn, Đà Nẵng",,
5.200 tỷ,135 m²,"38,52 tỷ/m²","Gia Lâm, Hà Nội",,
Giá thỏa thuận,79 m²,,"Thường Tín, Hà Nội",,
"14,8 triệu","62,5 m²","236,8 nghìn/m²","Đông Anh, Hà Nội",6,6
Giá thỏa thuận,60 m²,,"Đông Anh, Hà Nội",2,2
"6,4 tỷ",120 m²,"53,33 tr/m²","Cam Ranh, Khánh Hòa",3,
"7,5 tỷ",54 m²,"138,89 tr/m²","Văn Giang, Hưng Yên",,
"4,84 tỷ",88 m²,55 tr/m²,"Sơn Trà, Đà Nẵng",3,2
"7,2 tỷ",86 m²,"83,72 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
"15,8 tỷ","62,5 m²","252,8 tr/m²","Đông Anh, Hà Nội",,
"5,1 tỷ",83 m²,"61,45 tr/m²","Bắc Từ Liêm, Hà Nội",2,2
"16,8 tỷ",120 m²,140 tr/m²,"Văn Giang, Hưng Yên",,
"5,8 tỷ",90 m²,"64,44 tr/m²","Gia Lâm, Hà Nội",3,2
Giá thỏa thuận,83 m²,,"Ba Đình, Hà Nội",2,2
"23,3 tỷ",100 m²,233 tr/m²,"Văn Giang, Hưng Yên",,
Giá thỏa thuận,72 m²,,"Quận 2, Hồ Chí Minh",2,2
"16,3 tỷ",70 m²,"232,86 tr/m²","Quận 2, Hồ Chí Minh",2,2
"8,8 tỷ",45 m²,"195,56 tr/m²","Đống Đa, Hà Nội",,
Giá thỏa thuận,"74,2 m²",,"Đông Anh, Hà Nội",3,2
"1,85 tỷ",68 m²,"27,21 tr/m²","Phủ Lý, Hà Nam",3,1
"16,3 tỷ",70 m²,"232,86 tr/m²","Quận 2, Hồ Chí Minh",2,2
"8,8 tỷ",45 m²,"195,56 tr/m²","Đống Đa, Hà Nội",,
Giá thỏa thuận,"74,2 m²",,"Đông Anh, Hà Nội",3,2
"1,85 tỷ",68 m²,"27,21 tr/m²","Phủ Lý, Hà Nam",3,1
Giá thỏa thuận,112 m²,,"Hải Châu, Đà Nẵng",3,3
10 tỷ,120 m²,"83,33 tr/m²","Thanh Xuân, Hà Nội",3,2
Giá thỏa thuận,"106,5 m²",,"Sơn Trà, Đà Nẵng",3,2
"3,7 tỷ",75 m²,"49,33 tr/m²","Gia Lâm, Hà Nội",2,2
Giá thỏa thuận,80 m²,,"Thường Tín, Hà Nội",,
"3,57 tỷ",85 m²,42 tr/m²,"Quận 2, Hồ Chí Minh",2,2
"2,2 tỷ",59 m²,"37,29 tr/m²","Quận 9, Hồ Chí Minh",,
"16,8 tỷ",68 m²,"247,06 tr/m²","Hồng Bàng, Hải Phòng",4,4
"5,4 tỷ","77,5 m²","69,68 tr/m²","Long Biên, Hà Nội",2,2
Giá thỏa thuận,60 m²,,"Đông Anh, Hà Nội",2,2
"6,6 tỷ",110 m²,60 tr/m²,"Bắc Từ Liêm, Hà Nội",3,2
45 tỷ,140 m²,"321,43 tr/m²","Tây Hồ, Hà Nội",,
7 tỷ,54 m²,"129,63 tr/m²","Quận 2, Hồ Chí Minh",,
25 tỷ,150 m²,"166,67 tr/m²","Gia Lâm, Hà Nội",4,
Giá thỏa thuận,96 m²,,"Đan Phượng, Hà Nội",4,4
Giá thỏa thuận,42 m²,,"Gia Lâm, Hà Nội",,
"3,2 tỷ",60 m²,"53,33 tr/m²","Quận 9, Hồ Chí Minh",2,2
32 tỷ,126 m²,"253,97 tr/m²","Quận 7, Hồ Chí Minh",4,3
Giá thỏa thuận,54 m²,,"Văn Giang, Hưng Yên",,
"7,5 tỷ",54 m²,"138,89 tr/m²","Văn Giang, Hưng Yên",6,
"4,68 tỷ",72 m²,65 tr/m²,"Nhà Bè, Hồ Chí Minh",2,2
"9,8 tỷ",70 m²,140 tr/m²,"Văn Giang, Hưng Yên",,
"8,2 tỷ",68 m²,"120,59 tr/m²","Văn Giang, Hưng Yên",6,6
48 tỷ,140 m²,"342,86 tr/m²","Tây Hồ, Hà Nội",,
Giá thỏa thuận,59 m²,,"Đông Anh, Hà Nội",2,2
"6,5 tỷ",120 m²,"54,17 tr/m²","Cam Ranh, Khánh Hòa",3,4
Giá thỏa thuận,75 m²,,"Quận 2, Hồ Chí Minh",2,2
"10,7 tỷ",66 m²,"162,12 tr/m²","Nam Từ Liêm, Hà Nội",,
24 tỷ,96 m²,250 tr/m²,"Đông Anh, Hà Nội",10,5
"6,6 tỷ",55 m²,120 tr/m²,"Quận 2, Hồ Chí Minh",1,1
"7,5 tỷ",46 m²,"163,04 tr/m²","Nam Từ Liêm, Hà Nội",1,1
Giá thỏa thuận,"45,8 m²",,"Đông Anh, Hà Nội",2,1
Giá thỏa thuận,250 m²,,"Tân Uyên, Bình Dương",,
Giá thỏa thuận,108 m²,,"Hoàng Mai, Hà Nội",5,7
Giá thỏa thuận,69 m²,,"Quận 2, Hồ Chí Minh",2,2
"3,5 tỷ","58,2 m²","60,14 tr/m²","Sơn Trà, Đà Nẵng",2,1
"8,2 tỷ",120 m²,"68,33 tr/m²","Cầu Giấy, Hà Nội",3,2
"4,5 tỷ",96 m²,"46,88 tr/m²","Tân Phú, Hồ Chí Minh",3,2
"4,9 tỷ",52 m²,"94,23 tr/m²","Quận 2, Hồ Chí Minh",1,1
"6,5 tỷ",55 m²,"118,18 tr/m²","Quận 2, Hồ Chí Minh",1,1
"1,6 tỷ",1.000 m²,"1,6 tr/m²","Bảo Lộc, Lâm Đồng",,
"4,9 tỷ",76 m²,"64,47 tr/m²","Quận 2, Hồ Chí Minh",2,2
"15,34 tỷ",108 m²,142 tr/m²,"Sơn Trà, Đà Nẵng",5,6
Giá thỏa thuận,70 m²,,"Quận 2, Hồ Chí Minh",2,2
"6,1 tỷ",120 m²,"50,83 tr/m²","Long Biên, Hà Nội",3,2
"4,5 tỷ",66 m²,"68,18 tr/m²","Quận 7, Hồ Chí Minh",2,2
Giá thỏa thuận,86 m²,,"Đống Đa, Hà Nội",2,2
"7,4 tỷ",70 m²,"105,71 tr/m²","Tây Hồ, Hà Nội",2,2
Giá thỏa thuận,50 m²,,"Nam Từ Liêm, Hà Nội",,
Giá thỏa thuận,88.600 m²,,"Lương Sơn, Hòa Bình",,
"2,3 tỷ",125 m²,"18,4 tr/m²","Tân Uyên, Bình Dương",,
"4,77 tỷ","88,3 m²","54,02 tr/m²","Sơn Trà, Đà Nẵng",3,2
22 tỷ,72 m²,"305,56 tr/m²","Phú Nhuận, Hồ Chí Minh",,
25 tỷ,2.400 m²,"10,42 tr/m²","Bến Cát, Bình Dương",,
40 tỷ,8.600 m²,"4,65 tr/m²","Bàu Bàng, Bình Dương",,
Giá thỏa thuận,139 m²,,"Quận 2, Hồ Chí Minh",4,3
"2,8 tỷ",55 m²,"50,91 tr/m²","Quận 9, Hồ Chí Minh",2,1
"33,5 tỷ",189 m²,"177,25 tr/m²","Hà Đông, Hà Nội",,
"6,15 tỷ",66 m²,"93,18 tr/m²","Thanh Xuân, Hà Nội",2,2
"9,1 tỷ","32,2 m²","282,61 tr/m²","Đống Đa, Hà Nội",1,1
"13,8 tỷ",106 m²,"130,19 tr/m²","Bình Tân, Hồ Chí Minh",8,8
"2,7 tỷ",56 m²,"48,21 tr/m²","Bình Tân, Hồ Chí Minh",2,
Giá thỏa thuận,40 m²,,"Đông Anh, Hà Nội",1,
"5,8 tỷ",81 m²,"71,6 tr/m²","Gia Lâm, Hà Nội",3,
"7,5 tỷ",70 m²,"107,14 tr/m²","Quận 1, Hồ Chí Minh",2,
"21,6 tỷ",136 m²,"158,82 tr/m²","Văn Giang, Hưng Yên",5,3
42 tỷ,108 m²,"388,89 tr/m²","Hoàng Mai, Hà Nội",8,5
950 triệu,355 m²,"2,68 tr/m²","Chơn Thành, Bình Phước",,
"13,3 tỷ",120 m²,"110,83 tr/m²","Hải Châu, Đà Nẵng",5,5
"2,7 tỷ",68 m²,"39,71 tr/m²","Quận 7, Hồ Chí Minh",2,2
83 tỷ,302 m²,"274,83 tr/m²","Quận 7, Hồ Chí Minh",5,5
"3,45 tỷ","62,2 m²","55,47 tr/m²","Sơn Trà, Đà Nẵng",2,2
"6,39 tỷ",112 m²,"57,05 tr/m²","Bình Chánh, Hồ Chí Minh",3,2
"19,5 tỷ",71 m²,"274,65 tr/m²","Gia Lâm, Hà Nội",,
Giá thỏa thuận,84 m²,,"Văn Giang, Hưng Yên",8,5
"6,27 tỷ",55 m²,114 tr/m²,"Quận 2, Hồ Chí Minh",1,1
