price,area,price_per_m2,location,bedroom,bathroom
9 tỷ,75 m²,120 tr/m²,"Văn Giang, Hưng Yên",,
"6,4 tỷ",70 m²,"91,43 tr/m²","Cầu Giấy, Hà Nội",2,2
Giá thỏa thuận,70 m²,,"Đông Anh, Hà Nội",2,2
40 tỷ,198 m²,"202,02 tr/m²","Hà Đông, Hà Nội",5,6
"2,8 tỷ",55 m²,"50,91 tr/m²","Quận 9, Hồ Chí Minh",1,1
"12,8 tỷ",84 m²,"152,38 tr/m²","Quận 9, Hồ Chí Minh",5,5
63 tỷ,140 m²,450 tr/m²,"Tây Hồ, Hà Nội",4,5
63 tỷ,"149,6 m²","421,12 tr/m²","Tây Hồ, Hà Nội",4,5
24 tỷ,75 m²,320 tr/m²,"Đông Anh, Hà Nội",,
21 tỷ,120 m²,175 tr/m²,"Hà Đông, Hà Nội",,
"7,2 tỷ",54 m²,"133,33 tr/m²","Văn Giang, Hưng Yên",6,6
42 tỷ,198 m²,"212,12 tr/m²","Hà Đông, Hà Nội",4,4
"5,9 tỷ",83 m²,"71,08 tr/m²","Hai Bà Trưng, Hà Nội",2,2
6 tỷ,70 m²,"85,71 tr/m²","Bình Tân, Hồ Chí Minh",,
Giá thỏa thuận,63 m²,,"Gia Lâm, Hà Nội",2,2
"6,6 tỷ",110 m²,60 tr/m²,"Bắc Từ Liêm, Hà Nội",3,2
Giá thỏa thuận,108 m²,,"Cam Ranh, Khánh Hòa",,
42 tỷ,162 m²,"259,26 tr/m²","Nam Từ Liêm, Hà Nội",5,5
Giá thỏa thuận,250 m²,,"Tân Uyên, Bình Dương",,
"1,4 tỷ",30 m²,"46,67 tr/m²","Quận 9, Hồ Chí Minh",1,1
"7,5 tỷ",65 m²,"115,38 tr/m²","Văn Giang, Hưng Yên",6,5
Giá thỏa thuận,64 m²,,"Văn Giang, Hưng Yên",,
"6,17 tỷ",96 m²,"64,31 tr/m²","Tân Phú, Hồ Chí Minh",2,2
"14,5 tỷ","62,5 m²",232 tr/m²,"Đông Anh, Hà Nội",,
160 triệu,2.291 m²,"69,84 nghìn/m²","Chơn Thành, Bình Phước",,
"7,2 tỷ",54 m²,"133,33 tr/m²","Văn Giang, Hưng Yên",6,4
"6,1 tỷ",80 m²,"76,25 tr/m²","Long Biên, Hà Nội",2,2
"4,5 tỷ",84 m²,"53,57 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
64 tỷ,178 m²,"359,55 tr/m²","Quận 2, Hồ Chí Minh",4,3
"16,2 tỷ","79,1 m²","204,8 tr/m²","Tân Bình, Hồ Chí Minh",6,7
32 tỷ,"212,5 m²","150,59 tr/m²","Hà Đông, Hà Nội",5,6
"3,4 tỷ",82 m²,"41,46 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"4,3 tỷ",80 m²,"53,75 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
13 tỷ,71 m²,"183,1 tr/m²","Quận 2, Hồ Chí Minh",2,2
"13,6 tỷ",85 m²,160 tr/m²,"Văn Giang, Hưng Yên",6,5
Giá thỏa thuận,50 m²,,"Nam Từ Liêm, Hà Nội",,
Giá thỏa thuận,96 m²,,"Quận 9, Hồ Chí Minh",5,4
"3,1 tỷ",70 m²,"44,29 tr/m²","Quận 9, Hồ Chí Minh",2,2
Giá thỏa thuận,60 m²,,"Gia Lâm, Hà Nội",2,2
"8,6 tỷ",89 m²,"96,63 tr/m²","Thủ Đức, Hồ Chí Minh",2,
68 tỷ,227 m²,"299,56 tr/m²","Gia Lâm, Hà Nội",,
"13,76 tỷ",146 m²,"94,27 tr/m²","Tây Hồ, Hà Nội",3,2
"11,6 tỷ",111 m²,"104,5 tr/m²","Tây Hồ, Hà Nội",3,3
"9,56 tỷ",88 m²,"108,64 tr/m²","Tây Hồ, Hà Nội",2,2
"14,3 tỷ",84 m²,"170,24 tr/m²","Văn Giang, Hưng Yên",,
"6,8 tỷ",80 m²,85 tr/m²,"Bình Thạnh, Hồ Chí Minh",2,2
19 tỷ,75 m²,"253,33 tr/m²","Đông Anh, Hà Nội",8,8
"18,9 tỷ",140 m²,135 tr/m²,"Bình Thạnh, Hồ Chí Minh",3,2
Giá thỏa thuận,51 m²,,"Cầu Giấy, Hà Nội",6,4
"2,9 tỷ",70 m²,"41,43 tr/m²","Quận 9, Hồ Chí Minh",2,2
Giá thỏa thuận,"60,6 m²",,"Đông Anh, Hà Nội",2,2
Giá thỏa thuận,100 m²,,"Văn Giang, Hưng Yên",,
Giá thỏa thuận,45 m²,,"Đông Anh, Hà Nội",1,1
17 tỷ,70 m²,"242,86 tr/m²","Quận 2, Hồ Chí Minh",2,2
"1,85 tỷ","51,6 m²","35,85 tr/m²","Quận 9, Hồ Chí Minh",1,2
22 tỷ,290 m²,"75,86 tr/m²","Quận 9, Hồ Chí Minh",,
"3,8 tỷ",54 m²,"70,37 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"2,5 tỷ",65 m²,"38,46 tr/m²","Quận 9, Hồ Chí Minh",2,1
"7,9 tỷ",120 m²,"65,83 tr/m²","Cam Ranh, Khánh Hòa",3,4
"7,55 tỷ",121 m²,"62,43 tr/m²","Tân Phú, Hồ Chí Minh",3,3
"3,11 tỷ",84 m²,"37,07 tr/m²","Vũng Tàu, Bà Rịa Vũng Tàu",2,2
"2,65 tỷ",43 m²,"61,51 tr/m²","Văn Giang, Hưng Yên",1,1
34 tỷ,739 m²,"46,01 tr/m²","Quận 7, Hồ Chí Minh",,
215 triệu,1.329 m²,"161,78 nghìn/m²","Chơn Thành, Bình Phước",,
"3,53 tỷ","67,88 m²",52 tr/m²,"Hoàng Mai, Hà Nội",2,2
"11,8 tỷ",120 m²,"98,33 tr/m²","Thủ Đức, Hồ Chí Minh",4,4
"2,65 tỷ",59 m²,"44,92 tr/m²","Gia Lâm, Hà Nội",2,1
"2,9 tỷ",67 m²,"43,28 tr/m²","Gia Lâm, Hà Nội",2,2
"4,4 tỷ",80 m²,55 tr/m²,"Nam Từ Liêm, Hà Nội",3,2
"15,8 tỷ","62,5 m²","252,8 tr/m²","Đông Anh, Hà Nội",,
"9,5 tỷ",42 m²,"226,19 tr/m²","Tây Hồ, Hà Nội",6,3
14 tỷ,90 m²,"155,56 tr/m²","Văn Giang, Hưng Yên",,
"14,7 tỷ","85,7 m²","171,53 tr/m²","Quận 10, Hồ Chí Minh",11,10
3 tỷ,480 m²,"6,25 tr/m²","Đà Lạt, Lâm Đồng",,
"5,58 tỷ",40 m²,"139,5 tr/m²","Bình Thạnh, Hồ Chí Minh",3,3
"3,23 tỷ",63 m²,"51,27 tr/m²","Gia Lâm, Hà Nội",2,2
"23,85 tỷ",150 m²,159 tr/m²,"Gia Lâm, Hà Nội",,
"31,46 tỷ",217 m²,145 tr/m²,"Hoài Đức, Hà Nội",,
"5,5 tỷ",73 m²,"75,34 tr/m²","Bắc Từ Liêm, Hà Nội",2,2
Giá thỏa thuận,125 m²,,"Thường Tín, Hà Nội",,
Giá thỏa thuận,32 m²,,"Đông Anh, Hà Nội",,
"7,2 tỷ",87 m²,"82,76 tr/m²","Hai Bà Trưng, Hà Nội",2,2
"16,8 tỷ","80,2 m²","209,48 tr/m²","Thanh Xuân, Hà Nội",4,4
"15,2 tỷ","62,5 m²","243,2 tr/m²","Đông Anh, Hà Nội",,
Giá thỏa thuận,86 m²,,"Thủ Đức, Hồ Chí Minh",2,
"9,1 tỷ",75 m²,"121,33 tr/m²","Gò Vấp, Hồ Chí Minh",4,6
"30,8 tỷ",140 m²,220 tr/m²,"Thường Tín, Hà Nội",,
4 tỷ,80 m²,50 tr/m²,"Quận 9, Hồ Chí Minh",2,2
10 tỷ,80 m²,125 tr/m²,"Thường Tín, Hà Nội",,
Giá thỏa thuận,200 m²,,"Quận 9, Hồ Chí Minh",3,4
"50,4 tỷ",360 m²,140 tr/m²,"Quận 2, Hồ Chí Minh",4,4
"10,5 tỷ",48 m²,"218,75 tr/m²","Hà Đông, Hà Nội",6,3
11 tỷ,83 m²,"132,53 tr/m²","Quận 2, Hồ Chí Minh",2,2
"9,1 tỷ",75 m²,"121,33 tr/m²","Văn Giang, Hưng Yên",5,3
"8,19 tỷ","33,2 m²","246,69 tr/m²","Đống Đa, Hà Nội",3,4
"29,54 tỷ","212,5 m²",139 tr/m²,"Hà Đông, Hà Nội",4,5
57 tỷ,324 m²,"175,93 tr/m²","Gia Lâm, Hà Nội",,
"3,66 tỷ",55 m²,"66,54 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"3,29 tỷ",53 m²,"62,08 tr/m²","Nam Từ Liêm, Hà Nội",2,1
22 tỷ,255 m²,"86,28 tr/m²","Mê Linh, Hà Nội",,
"5,8 tỷ",81 m²,"71,6 tr/m²","Gia Lâm, Hà Nội",3,
"8,99 tỷ",115 m²,"78,16 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"1,85 tỷ","68,35 m²","27,07 tr/m²","Phủ Lý, Hà Nam",3,1
"5,38 tỷ",27 m²,"199,26 tr/m²","Hà Đông, Hà Nội",3,3
"11,5 tỷ","81,3 m²","141,45 tr/m²","Thường Tín, Hà Nội",,
"3,8 tỷ",58 m²,"65,52 tr/m²","Gia Lâm, Hà Nội",2,2
"4,5 tỷ",88 m²,"51,14 tr/m²","Tân Phú, Hồ Chí Minh",2,2
"5,3 tỷ",70 m²,"75,71 tr/m²","Quận 2, Hồ Chí Minh",2,
"3,85 tỷ",72 m²,"53,5 tr/m²","Sơn Trà, Đà Nẵng",2,2
"7,3 tỷ",120 m²,"60,83 tr/m²","Tân Phú, Hồ Chí Minh",3,3
8 tỷ,70 m²,"114,29 tr/m²","Văn Giang, Hưng Yên",,
"14,5 tỷ","62,5 m²",232 tr/m²,"Đông Anh, Hà Nội",,
"12,5 tỷ",250 m²,50 tr/m²,"Thạch Thất, Hà Nội",4,
Giá thỏa thuận,74 m²,,"Quận 2, Hồ Chí Minh",2,2
"4,9 tỷ",73 m²,"67,12 tr/m²","Bắc Từ Liêm, Hà Nội",2,2
24 tỷ,112 m²,"214,29 tr/m²","Văn Giang, Hưng Yên",4,3
"11,5 tỷ","81,3 m²","141,45 tr/m²","Thường Tín, Hà Nội",,
"3,65 tỷ",69 m²,"52,9 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"8,2 tỷ",162 m²,"50,62 tr/m²","Quận 7, Hồ Chí Minh",4,3
11 tỷ,94 m²,"117,02 tr/m²","Quận 2, Hồ Chí Minh",2,2
"4,8 tỷ",83 m²,"57,83 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
"1,04 tỷ","67,1 m²","15,54 tr/m²","Mỹ Đức, Hà Nội",,
"8,5 tỷ",108 m²,"78,7 tr/m²","Hai Bà Trưng, Hà Nội",2,2
"2,55 tỷ",55 m²,"46,36 tr/m²","Gia Lâm, Hà Nội",2,1
"8,9 tỷ",98 m²,"90,82 tr/m²","Thanh Xuân, Hà Nội",3,2
"30,24 tỷ",216 m²,140 tr/m²,"Hoài Đức, Hà Nội",,
"7,9 tỷ",77 m²,"102,6 tr/m²","Quận 1, Hồ Chí Minh",2,2
"1,6 tỷ",1.000 m²,"1,6 tr/m²","Bảo Lộc, Lâm Đồng",,
"14,3 tỷ",79 m²,"181,01 tr/m²","Thanh Xuân, Hà Nội",4,5
"8,3 tỷ","62,5 m²","132,8 tr/m²","Văn Giang, Hưng Yên",6,4
Giá thỏa thuận,"44,4 m²",,"Gia Lâm, Hà Nội",1,1
"5,9 tỷ",90 m²,"65,56 tr/m²","Bắc Từ Liêm, Hà Nội",3,2
"14,9 tỷ",65 m²,"229,23 tr/m²","Bình Thạnh, Hồ Chí Minh",5,3
"6,1 tỷ",120 m²,"50,83 tr/m²","Long Biên, Hà Nội",3,2
Giá thỏa thuận,50 m²,,"Sơn Trà, Đà Nẵng",1,1
"13,9 tỷ",111 m²,"125,22 tr/m²","Tây Hồ, Hà Nội",3,3
Giá thỏa thuận,"26,7 m²",,"Đông Anh, Hà Nội",1,1
"4,9 tỷ",48 m²,"102,08 tr/m²","Hà Đông, Hà Nội",3,4
"2,6 tỷ","67,37 m²","38,59 tr/m²","Quận 7, Hồ Chí Minh",2,2
"3,4 tỷ",35 m²,"97,14 tr/m²","Ngũ Hành Sơn, Đà Nẵng",,
"3,9 tỷ",80 m²,"48,75 tr/m²","Quận 9, Hồ Chí Minh",2,2
"15,1 tỷ",1.510 m²,10 tr/m²,"Quốc Oai, Hà Nội",,
Giá thỏa thuận,303 m²,,"Quận 7, Hồ Chí Minh",5,5
"1,89 tỷ",168 m²,"11,25 tr/m²","Yên Thủy, Hòa Bình",,
75 tỷ,180 m²,"416,67 tr/m²","Quận 7, Hồ Chí Minh",,
"4,41 tỷ",83 m²,"53,17 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
42 tỷ,108 m²,"388,89 tr/m²","Hoàng Mai, Hà Nội",8,5
Giá thỏa thuận,43 m²,,"Gia Lâm, Hà Nội",1,1
Giá thỏa thuận,"104,8 m²",,"Đông Anh, Hà Nội",,
11 tỷ,200 m²,55 tr/m²,"Thạch Thất, Hà Nội",,
Giá thỏa thuận,"77,5 m²",,"Sơn Trà, Đà Nẵng",2,2
Giá thỏa thuận,2.300 m²,,"Chơn Thành, Bình Phước",,
"6,4 tỷ",72 m²,"88,89 tr/m²","Cầu Giấy, Hà Nội",2,2
"6,8 tỷ",120 m²,"56,67 tr/m²","Cam Ranh, Khánh Hòa",3,4
"19,1 tỷ",90 m²,"212,22 tr/m²","Văn Giang, Hưng Yên",4,4
Giá thỏa thuận,64 m²,,"Gia Lâm, Hà Nội",2,2
"7,5 tỷ",64 m²,"117,19 tr/m²","Quận 2, Hồ Chí Minh",1,1
"3,7 tỷ",50 m²,74 tr/m²,"Ngũ Hành Sơn, Đà Nẵng",,
"3,7 tỷ",50 m²,74 tr/m²,"Ngũ Hành Sơn, Đà Nẵng",,
"2,85 tỷ",82 m²,"34,76 tr/m²","Quận 9, Hồ Chí Minh",3,
"21,5 tỷ",90 m²,"238,89 tr/m²","Hoài Đức, Hà Nội",,
"2,1 tỷ",68 m²,"30,88 tr/m²","Lê Chân, Hải Phòng",2,2
"2,61 tỷ","61,6 m²","42,37 tr/m²","Quận 9, Hồ Chí Minh",2,2
Giá thỏa thuận,107 m²,,"Thanh Xuân, Hà Nội",3,3
26 tỷ,150 m²,"173,33 tr/m²","Gia Lâm, Hà Nội",,
"3,4 tỷ",49 m²,"69,39 tr/m²","Nhà Bè, Hồ Chí Minh",1,
"2,79 tỷ",72 m²,"38,75 tr/m²","Vũng Tàu, Bà Rịa Vũng Tàu",2,2
"7,5 tỷ",54 m²,"138,89 tr/m²","Văn Giang, Hưng Yên",6,
"5,98 tỷ","72,11 m²",83 tr/m²,"Thanh Xuân, Hà Nội",2,
Giá thỏa thuận,50 m²,,"Dĩ An, Bình Dương",2,2
"4,9 tỷ",52 m²,"94,23 tr/m²","Quận 2, Hồ Chí Minh",1,1
"4,9 tỷ",81 m²,"60,49 tr/m²","Thủ Đức, Hồ Chí Minh",2,2
"2,89 tỷ","47,6 m²","60,78 tr/m²","Gia Lâm, Hà Nội",1,1
"4,6 tỷ",76 m²,"60,53 tr/m²","Quận 2, Hồ Chí Minh",2,2
63 tỷ,150 m²,420 tr/m²,"Tây Hồ, Hà Nội",5,5
"12,7 tỷ",195 m²,"65,13 tr/m²","Văn Giang, Hưng Yên",3,3
24 tỷ,150 m²,160 tr/m²,"Gia Lâm, Hà Nội",,
Giá thỏa thuận,108 m²,,"Hoàng Mai, Hà Nội",5,7
"14,2 tỷ",84 m²,"169,05 tr/m²","Văn Giang, Hưng Yên",8,6
"5,7 tỷ","82,64 m²","68,97 tr/m²","Ngũ Hành Sơn, Đà Nẵng",2,
25 tỷ,130 m²,"192,31 tr/m²","Quận 2, Hồ Chí Minh",3,2
"2,54 tỷ",43 m²,59 tr/m²,"Gia Lâm, Hà Nội",1,1
"3,05 tỷ",43 m²,"70,93 tr/m²","Nam Từ Liêm, Hà Nội",1,1
"4,07 tỷ",80 m²,"50,86 tr/m²","Quận 9, Hồ Chí Minh",2,2
Giá thỏa thuận,80 m²,,"Hoài Đức, Hà Nội",,
"7,2 tỷ",92 m²,"78,26 tr/m²","Quận 2, Hồ Chí Minh",2,2
13 tỷ,70 m²,"185,71 tr/m²","Quận 2, Hồ Chí Minh",2,
"13,9 tỷ",1.000 m²,"13,9 tr/m²","Bình Chánh, Hồ Chí Minh",,
"49,4 tỷ","148,9 m²","331,77 tr/m²","Đông Anh, Hà Nội",,
"14,34 tỷ",63 m²,"227,62 tr/m²","Đông Anh, Hà Nội",4,4
"2,35 tỷ","12,5 m²",188 tr/m²,"Quận 11, Hồ Chí Minh",2,3
"3,9 tỷ",80 m²,"48,75 tr/m²","Bình Tân, Hồ Chí Minh",2,2
16 tỷ,100 m²,160 tr/m²,"Văn Giang, Hưng Yên",,
"31,9 tỷ","212,5 m²","150,12 tr/m²","Hà Đông, Hà Nội",,
"24,8 tỷ",72 m²,"344,44 tr/m²","Hà Đông, Hà Nội",6,
